min_layer,num_speculations,threshold,acceptance_rate,total_time,time_per_token,tokens_per_second,average_exit_layer
0,4,0.1,0.6961520075798034,3.5851502895355223,0.014004493318498134,74.32780609130859,4.271267700195312
0,5,0.1,0.5026756346225738,3.9687068939208983,0.015502761304378509,65.45405349731445,4.2206299781799315
0,4,0.15000000000000002,0.5673299491405487,3.908083963394165,0.015265952982008456,67.15387268066407,3.9765809059143065
0,5,0.15000000000000002,0.5923850536346436,3.4755311489105223,0.013576293550431728,75.14382934570312,4.0
0,4,0.20000000000000004,0.6091261863708496,3.5778329372406006,0.013975909911096096,72.02096557617188,4.0
0,5,0.20000000000000004,0.6866620421409607,3.158561134338379,0.012338129431009292,82.20614013671874,4.0
1,4,0.1,0.8426894426345826,3.6808474540710447,0.014378310367465019,70.285595703125,6.989677429199219
1,5,0.1,0.8538642168045044,3.4704150199890136,0.013556308671832084,74.50230484008789,6.980327892303467
1,4,0.15000000000000002,0.8316062331199646,3.7078364372253416,0.01448373608291149,69.54761047363282,6.959638214111328
1,5,0.15000000000000002,0.8696831345558167,3.5379623413085937,0.013820165395736694,73.92138671875,7.0
1,4,0.20000000000000004,0.7845851302146911,3.849520206451416,0.015037188306450844,67.85539321899414,6.979310321807861
1,5,0.20000000000000004,0.8719424605369568,3.5727928638458253,0.013956222124397755,72.40983276367187,7.0
